district_group,subgroup,exp_data,exp_model,deg_data,deg_model,ten_c1_data,ten_c1_model,ten_c2_data,ten_c2_model
lambda_d,Quintile 1,12.88473,4.01481,.50188,.51851,-.0004,0,.0002,.0002
lambda_d,Quintile 2,12.94902,2.25908,.49507,.51647,-.0004,0,.0002,.0002
lambda_d,Quintile 3,12.93598,2.29799,.49771,.51217,-.0004,0,.0002,.0002
lambda_d,Quintile 4,12.84299,2.25479,.50381,.51778,-.0004,0,.0002,.0002
budget_capacity,Quintile 1,12.62729,2.1598,.52618,.51698,-.0004,0,.0002,.0002
budget_capacity,Quintile 2,12.76914,2.18684,.49363,.5179,-.0004,0,.0002,.0002
budget_capacity,Quintile 3,12.92374,2.65084,.50108,.51968,-.0004,.0001,.0002,.0002
budget_capacity,Quintile 4,12.93055,2.84643,.48476,.51126,-.0004,0,.0002,.0002
Urban,,12.88718,3.10194,.49403,.50918,-.0004,0,.0002,.0002
Suburban,,13.09542,6.15166,.51614,.50896,-.0004,-.0001,.0002,.0002
